match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
598033,1,Mumbai Indians,Royal Challengers Bangalore,12,4,KD Karthik,J Syed Mohammad,RG Sharma,1,0,1,,0,,,
336024,2,Deccan Chargers,Mumbai Indians,4,6,Y Venugopal Rao,CRD Fernando,LPC Silva,1,0,1,,0,,,
1304075,1,Chennai Super Kings,Gujarat Titans,17,4,S Dube,AS Joseph,RA Jadeja,4,0,4,,0,,,
336029,2,Chennai Super Kings,Royal Challengers Bangalore,13,2,SP Fleming,A Kumble,SK Raina,0,0,0,,1,SP Fleming,caught,B Akhil
597999,1,Royal Challengers Bangalore,Mumbai Indians,10,6,DT Christian,KA Pollard,CH Gayle,0,0,0,,0,,,
598046,1,Mumbai Indians,Chennai Super Kings,1,7,SR Tendulkar,MM Sharma,DR Smith,0,0,0,,0,,,
548310,2,Delhi Daredevils,Royal Challengers Bangalore,8,6,Y Venugopal Rao,DL Vettori,AJ Finch,0,0,0,,0,,,
598001,2,Delhi Daredevils,Rajasthan Royals,10,8,DPMD Jayawardene,R Shukla,DA Warner,0,0,0,,1,DPMD Jayawardene,caught,AM Rahane
501207,2,Pune Warriors,Kochi Tuskers Kerala,7,3,GC Smith,RA Jadeja,M Manhas,2,0,2,,0,,,
1254079,1,Royal Challengers Bangalore,Delhi Capitals,9,4,AB de Villiers,AR Patel,RM Patidar,1,0,1,,0,,,
980973,1,Sunrisers Hyderabad,Mumbai Indians,17,4,Yuvraj Singh,TG Southee,S Dhawan,1,0,1,,0,,,
598070,1,Chennai Super Kings,Mumbai Indians,9,3,SK Raina,Harbhajan Singh,MEK Hussey,1,0,1,,0,,,
1254093,1,Rajasthan Royals,Mumbai Indians,14,6,R Tewatia,JDS Neesham,DA Miller,0,0,0,,1,R Tewatia,caught,Ishan Kishan
1178419,2,Chennai Super Kings,Mumbai Indians,1,2,SK Raina,KH Pandya,M Vijay,1,0,1,,0,,,
1178399,2,Mumbai Indians,Kings XI Punjab,18,2,KA Pollard,SM Curran,AS Joseph,0,0,0,,0,,,
